analysis_type,model,status_summary,train_f1_macro,test_f1_macro,f1_macro,train_balanced_accuracy,test_balanced_accuracy,balanced_accuracy,train_R2,test_R2,R2
classification,Pure ML: pseudo-bulk marker modules,ok,1.0,0.36893267651888345,0.36893267651888345,1.0,0.4,0.4,,,
classification,Pure ML: RNAseq-like gene features,ok,1.0,0.2951111111111111,0.2951111111111111,1.0,0.3,0.3,,,
classification,Pure ML: bulk + spatial marker modules,ok,1.0,0.4709420610349403,0.4709420610349403,1.0,0.4800000000000001,0.4800000000000001,,,
classification,Mechanistic virtual-cell summaries,ok,1.0,0.9607655502392344,0.9607655502392344,1.0,0.96,0.96,,,
classification,Hybrid Type I: feature concatenation,ok,1.0,0.9607655502392344,0.9607655502392344,1.0,0.96,0.96,,,
classification,Hybrid Type II: MM prediction + AI residual correction,ok,1.0,0.9395458342826764,0.9395458342826764,1.0,0.9399999999999998,0.9399999999999998,,,
classification,Hybrid Type III: AI-inferred parameters -> MM surrogate,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,
classification,Hybrid Type III+: parameterized MM + AI residual,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,
classification,Hybrid Type IV/V: biology-informed residual-dynamics proxy,ok,1.0,0.6240424590888987,0.6240424590888987,1.0,0.6399999999999999,0.6399999999999999,,,
classification,Hybrid Type V: Neural-ODE learned residual dynamics,ok,0.9532092247846624,0.24361416361416363,0.24361416361416363,0.9533333333333334,0.27999999999999997,0.27999999999999997,,,
classification,Hybrid Type IV: reduced state-space PINN,ok,0.7583122929062862,0.07957446808510638,0.07957446808510638,0.76,0.15999999999999998,0.15999999999999998,,,
classification,Hybrid Type VII: simulator surrogate with true parameters (oracle diagnostic),"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,
future_burden,Pure ML: pseudo-bulk marker modules,ok,,,,,,,0.9212899249917782,0.5533672283112054,0.5533672283112054
