task,model,split,class_or_average,status,precision,recall,f1-score,support
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,anti_cytokine,ok,1.0,1.0,1.0,42.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,barrier_modulation,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,combination,ok,1.0,1.0,1.0,65.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,pro_resolution,ok,1.0,1.0,1.0,35.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,anti_cytokine,ok,0.0,0.0,0.0,14.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,combination,ok,0.4318181818181818,0.8636363636363636,0.5757575757575758,22.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,pro_resolution,ok,0.0,0.0,0.0,12.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,macro avg,ok,0.08636363636363636,0.17272727272727273,0.11515151515151516,50.0
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,test,weighted avg,ok,0.19,0.38,0.25333333333333335,50.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,anti_cytokine,ok,1.0,1.0,1.0,42.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,barrier_modulation,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,combination,ok,1.0,1.0,1.0,65.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,pro_resolution,ok,1.0,1.0,1.0,35.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,anti_cytokine,ok,0.0,0.0,0.0,14.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,barrier_modulation,ok,0.0,0.0,0.0,1.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,combination,ok,0.42857142857142855,0.9545454545454546,0.5915492957746479,22.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,pro_resolution,ok,0.0,0.0,0.0,12.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,macro avg,ok,0.08571428571428572,0.19090909090909092,0.11830985915492957,50.0
best_intervention_all_models,Pure ML: RNAseq-like gene features,test,weighted avg,ok,0.18857142857142858,0.42,0.26028169014084507,50.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,anti_cytokine,ok,1.0,1.0,1.0,42.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,anti_exhaustion,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,barrier_modulation,ok,1.0,1.0,1.0,4.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,combination,ok,1.0,1.0,1.0,65.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,pro_resolution,ok,1.0,1.0,1.0,35.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,macro avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,train,weighted avg,ok,1.0,1.0,1.0,150.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,test,anti_cytokine,ok,0.25,0.07142857142857142,0.1111111111111111,14.0
best_intervention_all_models,Pure ML: bulk + spatial marker modules,test,anti_exhaustion,ok,0.0,0.0,0.0,1.0
