task,model,split,class_or_average,status,precision,recall,f1-score,support
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,acute_resolving,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,chronic,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,hyperinflammatory,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,immune_excluded,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,suppressed,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,macro avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,train,weighted avg,ok,1.0,1.0,1.0,150.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,acute_resolving,ok,0.4,0.2,0.26666666666666666,10.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,chronic,ok,0.25,0.1,0.14285714285714285,10.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,hyperinflammatory,ok,0.36363636363636365,0.4,0.38095238095238093,10.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,immune_excluded,ok,0.5454545454545454,0.6,0.5714285714285714,10.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,suppressed,ok,0.3684210526315789,0.7,0.4827586206896552,10.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,macro avg,ok,0.3855023923444976,0.4,0.36893267651888345,50.0
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,test,weighted avg,ok,0.3855023923444976,0.4,0.3689326765188834,50.0
regime_classification_all_models,Pure ML: RNAseq-like gene features,train,acute_resolving,ok,1.0,1.0,1.0,30.0
regime_classification_all_models,Pure ML: RNAseq-like gene features,train,chronic,ok,1.0,1.0,1.0,30.0
