task,model,status,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,test_accuracy,test_balanced_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,accuracy,balanced_accuracy,f1_macro,f1_weighted,metric_family,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE,R2,RMSE,MAE,parameter,Pearson_r
regime_classification_all_models,Pure ML: pseudo-bulk marker modules,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.3855023923444976,0.4,0.36893267651888345,0.3855023923444976,0.4,0.3689326765188834,0.4,0.4,0.36893267651888345,0.3689326765188834,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Pure ML: RNAseq-like gene features,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3106060606060606,0.3,0.2951111111111111,0.3106060606060606,0.3,0.2951111111111111,0.3,0.3,0.2951111111111111,0.2951111111111111,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Pure ML: bulk + spatial marker modules,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.4800000000000001,0.49523809523809526,0.4800000000000001,0.4709420610349403,0.4952380952380952,0.48,0.4709420610349403,0.48,0.4800000000000001,0.4709420610349403,0.4709420610349403,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Mechanistic virtual-cell summaries,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,0.9666666666666668,0.96,0.9607655502392344,0.9666666666666667,0.96,0.9607655502392345,0.96,0.96,0.9607655502392344,0.9607655502392345,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type I: feature concatenation,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,0.9666666666666668,0.96,0.9607655502392344,0.9666666666666667,0.96,0.9607655502392345,0.96,0.96,0.9607655502392344,0.9607655502392345,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.6399999999999999,0.631962481962482,0.6399999999999999,0.6240424590888987,0.631962481962482,0.64,0.6240424590888987,0.64,0.6399999999999999,0.6240424590888987,0.6240424590888987,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type II: MM prediction + AI residual correction,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.9399999999999998,0.9484848484848485,0.9399999999999998,0.9395458342826764,0.9484848484848485,0.94,0.9395458342826764,0.94,0.9399999999999998,0.9395458342826764,0.9395458342826764,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type III: AI-inferred parameters -> MM surrogate,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type III+: parameterized MM + AI residual,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type VII: simulator surrogate with true parameters (oracle diagnostic),"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,ok,0.9533333333333334,0.9533333333333334,0.9535038932146829,0.9533333333333334,0.9532092247846624,0.953503893214683,0.9533333333333334,0.9532092247846625,0.28,0.27999999999999997,0.2475,0.27999999999999997,0.24361416361416363,0.2475,0.28,0.24361416361416363,0.28,0.27999999999999997,0.24361416361416363,0.24361416361416363,FULL_classification_all_models,,,,,,,,,,,
regime_classification_all_models,Hybrid Type IV: reduced state-space PINN,ok,0.76,0.76,0.7622564935064935,0.76,0.7583122929062862,0.7622564935064936,0.76,0.7583122929062862,0.16,0.15999999999999998,0.057837837837837844,0.15999999999999998,0.07957446808510638,0.057837837837837844,0.16,0.07957446808510638,0.16,0.15999999999999998,0.07957446808510638,0.07957446808510638,FULL_classification_all_models,,,,,,,,,,,
future_burden_all_models,Pure ML: pseudo-bulk marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9212899249917782,0.026791230417660374,0.021204566481352424,0.5533672283112054,0.0706842324573708,0.05755777929974955,0.5533672283112054,0.0706842324573708,0.05755777929974955,,
future_burden_all_models,Pure ML: RNAseq-like gene features,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9024131415267764,0.02983136769028767,0.024407119638410902,0.3850386990871827,0.08294135894057406,0.06891136718258375,0.3850386990871827,0.08294135894057406,0.06891136718258375,,
future_burden_all_models,Pure ML: bulk + spatial marker modules,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.942429253585879,0.022912813834340382,0.016929982907854843,0.7124224500137192,0.05671850081464947,0.04365911481017184,0.7124224500137192,0.05671850081464947,0.04365911481017184,,
future_burden_all_models,Mechanistic virtual-cell summaries,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9993527644581222,0.0024294539714573024,0.0013642532942708962,0.9969252241695328,0.005864810481041968,0.003478932748714291,0.9969252241695328,0.005864810481041968,0.003478932748714291,,
future_burden_all_models,Hybrid Type I: feature concatenation,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9990455089348931,0.0029502813239310173,0.0017028624452096143,0.9959913107330948,0.006696508893689875,0.004127428565385422,0.9959913107330948,0.006696508893689875,0.004127428565385422,,
future_burden_all_models,Hybrid Type IV/V: biology-informed residual-dynamics proxy,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9938253304896898,0.007503853648832944,0.005507413233952784,0.9362434519606925,0.02670604957590697,0.01933164228418713,0.9362434519606925,0.02670604957590697,0.01933164228418713,,
future_burden_all_models,Hybrid Type II: MM prediction + AI residual correction,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.9997968586323532,0.0013610581561392689,0.00064174149462442,0.9970782445617321,0.0057170130539318555,0.0035210277216782184,0.9970782445617321,0.0057170130539318555,0.0035210277216782184,,
future_burden_all_models,Hybrid Type III: AI-inferred parameters -> MM surrogate,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,,,,,,,,,,,
future_burden_all_models,Hybrid Type III+: parameterized MM + AI residual,"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,,,,,,,,,,,
future_burden_all_models,Hybrid Type VII: simulator surrogate with true parameters (oracle diagnostic),"failed: The feature names should match those that were passed during fit.
Feature names unseen at fit time:
- theta_hat_barrier
- theta_hat_cytotoxic_gain
- theta_hat_decay
- theta_hat_diffusion
- theta_hat_ecm_density
- ...
Feature names seen at fit time, yet now missing:
- barrier
- cytotoxic_gain
- decay
- diffusion
- ecm_density
- ...
",,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,,,,,,,,,,,
future_burden_all_models,Hybrid Type V: Neural-ODE learned residual dynamics,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,0.4100092194635291,0.07334999845081054,0.05144512177167911,-11.846958133423145,0.37909443376343294,0.2798485339087029,-11.846958133423145,0.37909443376343294,0.2798485339087029,,
future_burden_all_models,Hybrid Type IV: reduced state-space PINN,ok,,,,,,,,,,,,,,,,,,,,,FULL_future_burden_all_models,-0.4635977291561366,0.11552829392192858,0.10949089442809791,-60.399271811596726,0.8287601561654858,0.6394205055288144,-60.399271811596726,0.8287601561654858,0.6394205055288144,,
best_intervention_all_models,Pure ML: pseudo-bulk marker modules,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.17272727272727273,0.08636363636363636,0.17272727272727273,0.11515151515151516,0.19,0.38,0.25333333333333335,0.38,0.17272727272727273,0.11515151515151516,0.25333333333333335,FULL_best_intervention_all_models,,,,,,,,,,,
best_intervention_all_models,Pure ML: RNAseq-like gene features,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.19090909090909092,0.08571428571428572,0.19090909090909092,0.11830985915492957,0.18857142857142858,0.42,0.26028169014084507,0.42,0.19090909090909092,0.11830985915492957,0.26028169014084507,FULL_best_intervention_all_models,,,,,,,,,,,
