feature,importance
mech_t_cell_STAT3_IL6_mean_auc,0.035451337429768345
mech_treg_STAT3_IL6_mean_auc,0.027452749046477074
mech_t_cell_STAT3_IL6_mean_final,0.02686001666144229
mech_mean_damage_auc,0.023238442926339215
mech_nk_cell_TGFB_regulatory_mean_final,0.023166839839394732
mech_mean_damage_q75,0.021487686369561648
mech_treg_STAT3_IL6_mean_final,0.0214086177457161
mech_nk_cell_STAT3_IL6_mean_auc,0.02134090719496726
mech_max_damage_q75,0.020214215538313457
mech_nk_cell_STAT3_IL6_mean_final,0.019690728788812232
mech_mean_activation_auc,0.018623792879285547
mech_max_damage_auc,0.01854273197688749
mech_mean_damage_q25,0.017634672969099777
mech_t_cell_migration_program_mean_auc,0.017368703310956274
mech_max_damage_q50,0.016723197100083024
mech_macrophage_STAT3_IL6_mean_auc,0.01667779824554453
mech_mean_cytotoxic_activity_max,0.016599789276474684
mech_max_damage_final,0.016453908719565983
mech_macrophage_TGFB_regulatory_mean_final,0.01624898728818254
mech_t_cell_TGFB_regulatory_mean_auc,0.015151385322392855
mech_mean_damage_final,0.014868322732500022
mech_macrophage_TGFB_regulatory_mean_auc,0.014795805397171628
mech_treg_migration_program_mean_final,0.014660961046421915
mech_max_damage_max,0.014375961378647948
mech_max_damage_early_slope,0.01430938728873904
mech_max_damage_q25,0.014061815000756208
mech_t_cell_TGFB_regulatory_mean_final,0.0137944471492424
mech_nk_cell_migration_program_mean_auc,0.013437221231127814
mech_mean_repair_activity_max,0.013211571724896615
mech_nk_cell_TGFB_regulatory_mean_auc,0.012791140066003251
mech_macrophage_STAT3_IL6_mean_final,0.012486050788236771
mech_treg_migration_program_mean_auc,0.012485325145442773
mech_t_cell_repair_program_mean_auc,0.011485928452453064
mech_mean_repair_activity_q75,0.01128468198038147
mech_max_cytokines_auc,0.011078772153384184
mech_t_cell_repair_program_mean_final,0.010889140302174602
mech_macrophage_repair_program_mean_auc,0.010795042125033617
mech_mean_cytotoxic_activity_q50,0.01037963287869937
mech_treg_repair_program_mean_auc,0.009935131514803807
mech_treg_TGFB_regulatory_mean_auc,0.009653254657734332
mech_t_cell_migration_program_mean_final,0.009609467464601663
mech_treg_repair_program_mean_final,0.009427269962137564
mech_nk_cell_repair_program_mean_final,0.008659719280738151
mech_nk_cell_migration_program_mean_final,0.008518820108919717
mech_macrophage_migration_program_mean_auc,0.00807808403196585
mech_macrophage_NFkB_inflammatory_mean_auc,0.00794378410036223
mech_mean_repair_activity_auc,0.007914415932402198
mech_macrophage_migration_program_mean_final,0.007881981265392269
mech_mean_damage_early_slope,0.007843091105617591
mech_mean_damage_q50,0.0076509197142513845
mech_macrophage_repair_program_mean_final,0.007539266107024158
mech_mean_damage_max,0.007397303818492243
mech_mean_repair_activity_q50,0.006917425869439221
mech_mean_activation_max,0.00659148379885002
mech_t_cell_IFNG_response_mean_auc,0.006388182562513908
mech_mean_cytotoxic_activity_q75,0.006384512710603221
mech_mean_cytotoxic_activity_final,0.006224453641218624
mech_nk_cell_cytotoxic_program_mean_auc,0.006045638338331004
mech_nk_cell_repair_program_mean_auc,0.005784603718025216
mech_mean_cytotoxic_activity_auc,0.005370499446529415
mech_mean_cytotoxic_activity_q25,0.005277558648318861
mech_max_cytokines_q25,0.005083022745638356
mech_treg_TGFB_regulatory_mean_final,0.0048151313636925494
mech_max_cytokines_q75,0.004030079115694937
mech_max_cytokines_early_slope,0.003883568893768179
mech_mean_damage_late_slope,0.0038577022524423415
mech_count_treg_max,0.00356993933391152
mech_max_damage_late_slope,0.0033875990986697163
mech_mean_cytokines_auc,0.003087496391311361
mech_mean_suppression_activity_q25,0.0030032874938241915
mech_mean_activation_q25,0.0029590618200271315
mech_t_cell_exhaustion_program_mean_auc,0.002913872624048918
mech_active_macrophage_auc,0.0028970570515703944
mech_mean_cytokines_q75,0.0028641139982800374
mech_nk_cell_IFNG_response_mean_auc,0.00280242006100927
mech_max_cytokines_late_slope,0.0027847714616559454
mech_mean_suppression_activity_auc,0.002775073455149962
mech_max_cytokines_final,0.00269462123473835
mech_mean_repair_activity_q25,0.0026805579676182356
mech_mean_suppression_activity_max,0.0026617197723012033
mech_mean_repair_activity_early_slope,0.0026232256898263053
mech_nk_cell_exhaustion_program_mean_auc,0.0024815854319316156
mech_mean_repair_activity_final,0.002463916480128821
mech_nk_cell_cytotoxic_program_mean_final,0.002446075541091718
mech_final_inflammatory_burden,0.002150206163655484
mech_max_cytokines_q50,0.002105191979662258
mech_mean_suppression_activity_q50,0.001979227286888677
mech_t_cell_cytotoxic_program_mean_auc,0.0017679364785673018
mech_mean_cytokines_q50,0.0017104632799996823
mech_t_cell_NFkB_inflammatory_mean_auc,0.0017059878115982603
mech_mean_cytokines_late_slope,0.0012869269995490155
mech_treg_exhaustion_program_mean_auc,0.001276682818696209
mech_active_macrophage_max,0.0012046623949081767
mech_mean_cytokines_q25,0.001150704183372954
mech_mean_suppression_activity_q75,0.0011484437494053551
mech_mean_cytokines_max,0.0010294554236949126
rna_M2_REPAIR_CD163_MRC1_IL10_gene05_logCPM,0.001015284605081068
mech_macrophage_exhaustion_program_mean_auc,0.0009921760331709354
mech_mean_activation_q75,0.0009717908469909558
rna_IFNG_RESPONSE_module_mean_logCPM,0.0009460246023842355
spatial_HYPOXIA_q95,0.0008773149617823096
rna_APOPTOSIS_gene06_logCPM,0.0008637928378267791
bulk_WOUND_HEALING_q90,0.0008498190869096232
mech_t_cell_cytotoxic_program_mean_final,0.0008459338188442402
mech_mean_suppression_activity_final,0.0008105319795541566
mech_mean_activation_final,0.0008087632551886794
rna_HYPOXIA_module_sd_logCPM,0.0007930732997788344
spatial_TNF_NFKB_q95,0.0007717965565627285
rna_TGFB_SIGNALING_module_sd_logCPM,0.0007663514329430048
rna_INFLAMMATORY_RESPONSE_gene06_logCPM,0.0007541238975785614
rna_TNF_NFKB_gene04_logCPM,0.0007274322051879665
mech_mean_activation_early_slope,0.0007214333107612897
rna_MACROPHAGE_module_mean_logCPM,0.0007163706458955758
rna_NK_CELL_gene04_logCPM,0.0006880465608863937
rna_IL6_JAK_STAT3_gene06_logCPM,0.0006781989003730183
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_gene06_logCPM,0.0006677773037176835
mech_mean_repair_activity_late_slope,0.0006525842000005224
rna_WOUND_HEALING_spatial_var_proxy,0.0006443622709481487
rna_EXHAUSTION_PD1_LAG3_TIM3_gene03_logCPM,0.0006418749927549578
rna_M2_REPAIR_CD163_MRC1_IL10_gene01_logCPM,0.000640034833318643
