task,model,parameter,R2,RMSE,MAE,Pearson_r
parameter_recovery,Pure ML: pseudo-bulk marker modules,barrier,-0.09171146312142198,0.23236711095851167,0.1955289864183267,0.04657419692033312
parameter_recovery,Pure ML: pseudo-bulk marker modules,ecm_density,-0.06379977356845035,0.23029486421090037,0.19524772140812993,0.08374499457942573
parameter_recovery,Pure ML: pseudo-bulk marker modules,repair_rate,0.09304595281069661,0.018673330419239173,0.014791398702517049,0.3174253845672124
parameter_recovery,Pure ML: pseudo-bulk marker modules,diffusion,-0.005265607989668908,0.02287315272855476,0.01875709094237886,0.17235475833482689
parameter_recovery,Pure ML: pseudo-bulk marker modules,decay,0.2254256068374242,0.0137973135749842,0.011435992155485518,0.5113069597894991
parameter_recovery,Pure ML: pseudo-bulk marker modules,injury_amp,-0.128739435918505,0.00938453091584568,0.007493930171504186,0.030286811054846513
parameter_recovery,Pure ML: pseudo-bulk marker modules,persistent_injury,-0.059865018650795854,0.008664490345864717,0.007439721928113501,-0.03250168532483677
parameter_recovery,Pure ML: pseudo-bulk marker modules,recruitment_rate,0.035118794280734056,0.023765129312750728,0.019562281372651025,0.28504825190637273
parameter_recovery,Pure ML: pseudo-bulk marker modules,nfkb_gain,0.21963326069504763,0.33008656063778646,0.2583763020831529,0.4749170140087905
parameter_recovery,Pure ML: pseudo-bulk marker modules,stat3_gain,0.18545428223463678,0.30788232375902186,0.2486922272139659,0.43159893267685495
parameter_recovery,Pure ML: pseudo-bulk marker modules,ifng_gain,0.05100951951051913,0.29496562258659936,0.24326613191396362,0.34869797013595477
parameter_recovery,Pure ML: pseudo-bulk marker modules,tgfb_gain,0.16534488143756043,0.30016857603870084,0.24396753866858303,0.41414177525572876
parameter_recovery,Pure ML: pseudo-bulk marker modules,exhaustion_gain,0.041355916949748495,0.32491476915388656,0.2853777757391913,0.2432841539398202
parameter_recovery,Pure ML: pseudo-bulk marker modules,cytotoxic_gain,-0.1233955914127427,0.26124101107761505,0.19683821722567704,0.12593626926321977
parameter_recovery,Pure ML: pseudo-bulk marker modules,migration_gain,-0.14239657567255048,0.23576824038400493,0.19316278232608597,0.049496517955252936
parameter_recovery,Pure ML: RNAseq-like gene features,barrier,-0.06175180701845484,0.22915652484465404,0.18562327980210405,-0.057962015575378736
parameter_recovery,Pure ML: RNAseq-like gene features,ecm_density,-0.06393416071497438,0.230309410036663,0.18793060502073536,-0.05511830395187179
parameter_recovery,Pure ML: RNAseq-like gene features,repair_rate,0.01741367395250193,0.01943634048731445,0.01578063553181251,0.1449930860040391
parameter_recovery,Pure ML: RNAseq-like gene features,diffusion,-0.11143288704394783,0.024050673307785677,0.019100987254866756,-0.2144432187908734
parameter_recovery,Pure ML: RNAseq-like gene features,decay,0.15574699781470702,0.01440453601738072,0.01219610164995025,0.49171856463060365
parameter_recovery,Pure ML: RNAseq-like gene features,injury_amp,-0.1685977441098634,0.009548787790599696,0.007692814345836527,-0.22245924057966976
parameter_recovery,Pure ML: RNAseq-like gene features,persistent_injury,-0.011675599579862528,0.008465222561203493,0.007262066077907225,0.05591182708649518
parameter_recovery,Pure ML: RNAseq-like gene features,recruitment_rate,0.0946795581557337,0.0230199524139265,0.01915840119166152,0.3124907490476114
parameter_recovery,Pure ML: RNAseq-like gene features,nfkb_gain,0.0542842107593704,0.3633781312563163,0.2861445908828049,0.2468465030606229
parameter_recovery,Pure ML: RNAseq-like gene features,stat3_gain,0.02579112130006922,0.33670771304605157,0.27923421437871276,0.21733906197732086
parameter_recovery,Pure ML: RNAseq-like gene features,ifng_gain,0.006098151180884526,0.30186462680994675,0.24293419896988022,0.2182874515377634
parameter_recovery,Pure ML: RNAseq-like gene features,tgfb_gain,0.07901917845495987,0.31530945054819004,0.2623592086678361,0.28177759877739067
parameter_recovery,Pure ML: RNAseq-like gene features,exhaustion_gain,-0.017657351704042812,0.3347661533173524,0.29808779999472335,0.09188263129129678
parameter_recovery,Pure ML: RNAseq-like gene features,cytotoxic_gain,-0.10801707644405711,0.25944674423508185,0.20239980015058656,0.02099467063260874
parameter_recovery,Pure ML: RNAseq-like gene features,migration_gain,-0.11025048880211719,0.23242740981182874,0.19501668026224583,-0.042538059899049706
parameter_recovery,Pure ML: bulk + spatial marker modules,barrier,-0.04660637168325876,0.22751624446034327,0.19132730187263478,0.08673995767602814
parameter_recovery,Pure ML: bulk + spatial marker modules,ecm_density,-0.01916690029991397,0.22541196317002649,0.190385650206301,0.12606872993690527
parameter_recovery,Pure ML: bulk + spatial marker modules,repair_rate,0.23381985373024072,0.01716305473360643,0.01342075914515549,0.5197556551724117
parameter_recovery,Pure ML: bulk + spatial marker modules,diffusion,0.07570057334508462,0.02193269297970754,0.01775956946472644,0.2833774345679843
parameter_recovery,Pure ML: bulk + spatial marker modules,decay,0.5351296940066331,0.010688798008314739,0.009025519120800412,0.7694910756893528
parameter_recovery,Pure ML: bulk + spatial marker modules,injury_amp,-0.11167498853955471,0.009313322402310325,0.00741937672722099,0.03958800676914563
parameter_recovery,Pure ML: bulk + spatial marker modules,persistent_injury,0.09358477325074688,0.008012745322016413,0.006863068371097792,0.30729790947572544
parameter_recovery,Pure ML: bulk + spatial marker modules,recruitment_rate,0.21601555835555963,0.021421850308638656,0.01826330178498559,0.47921042558515287
parameter_recovery,Pure ML: bulk + spatial marker modules,nfkb_gain,0.5308180818415981,0.2559464442271651,0.21608460458019113,0.7647596245730167
parameter_recovery,Pure ML: bulk + spatial marker modules,stat3_gain,0.5567395086837346,0.22712060432145392,0.19105383543132973,0.7849130567088114
parameter_recovery,Pure ML: bulk + spatial marker modules,ifng_gain,0.18369764566519575,0.2735684436380901,0.22731349165747375,0.5116537683133766
parameter_recovery,Pure ML: bulk + spatial marker modules,tgfb_gain,0.3455648862751757,0.265793888696922,0.2166158502360184,0.6118301523962211
parameter_recovery,Pure ML: bulk + spatial marker modules,exhaustion_gain,0.08299856539325101,0.3177794158531343,0.2722204665195869,0.30496502355829147
parameter_recovery,Pure ML: bulk + spatial marker modules,cytotoxic_gain,-0.04198729041484861,0.2515974349737101,0.18986845333927183,0.2067133878875984
parameter_recovery,Pure ML: bulk + spatial marker modules,migration_gain,-0.05467765516533096,0.22653573949603617,0.18144149494275857,0.1450435027019406
parameter_recovery,Mechanistic virtual-cell summaries,barrier,0.7791883616671418,0.1045037086803319,0.07781641558432335,0.8918906555137852
parameter_recovery,Mechanistic virtual-cell summaries,ecm_density,0.7805183584676543,0.10460523174840287,0.0773871813830801,0.8919387524368879
parameter_recovery,Mechanistic virtual-cell summaries,repair_rate,0.8670277732397024,0.007150058764862007,0.005941023874091436,0.9325331451178128
parameter_recovery,Mechanistic virtual-cell summaries,diffusion,0.4099513956954951,0.017523849358891196,0.01411822090160792,0.643117499345642
parameter_recovery,Mechanistic virtual-cell summaries,decay,0.9500021192694721,0.003505409546797973,0.0016970598024153203,0.9813902289882005
parameter_recovery,Mechanistic virtual-cell summaries,injury_amp,0.7593527105374416,0.0043331747839644745,0.0031641629255177673,0.8729190214636193
parameter_recovery,Mechanistic virtual-cell summaries,persistent_injury,0.8554522943011671,0.0031998037601916195,0.002380598886241484,0.9270004221808421
parameter_recovery,Mechanistic virtual-cell summaries,recruitment_rate,0.42250540874472053,0.018385575081665603,0.013991687604285583,0.663425942113915
parameter_recovery,Mechanistic virtual-cell summaries,nfkb_gain,0.9020428460453844,0.11694900913002802,0.09198672334318486,0.9504321424650716
parameter_recovery,Mechanistic virtual-cell summaries,stat3_gain,0.9974197745945333,0.01732829555963873,0.013122394912698681,0.9987107492830115
parameter_recovery,Mechanistic virtual-cell summaries,ifng_gain,0.777431166002296,0.1428475020836355,0.11318805107321453,0.9005451749718654
parameter_recovery,Mechanistic virtual-cell summaries,tgfb_gain,0.9898324693215041,0.033129847760497634,0.0176249159422348,0.996056255854311
parameter_recovery,Mechanistic virtual-cell summaries,exhaustion_gain,0.8041978993045586,0.14684170829842777,0.11848067909376933,0.9052283973364462
parameter_recovery,Mechanistic virtual-cell summaries,cytotoxic_gain,0.6268602211832809,0.1505604046154531,0.11390051261927442,0.7951782199324131
parameter_recovery,Mechanistic virtual-cell summaries,migration_gain,0.9956987891293463,0.014466791531917664,0.011306292739041646,0.9979218400731225
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,barrier,0.7461952160664688,0.11203936147287248,0.08248413851852997,0.8796287240087115
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,ecm_density,0.7472649537323497,0.11225017856858273,0.08414951411285962,0.8822554719127267
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,repair_rate,0.8286543984150112,0.008116440714342945,0.006552682020921903,0.9105425244957233
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,diffusion,0.40201669600555123,0.017641282177000672,0.014321053759901363,0.63625622153988
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,decay,0.9388894911573217,0.0038754391030739253,0.002032778017575546,0.9748861220078573
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,injury_amp,0.6648087693858341,0.005114015547113132,0.004041255994359996,0.8208014798319071
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,persistent_injury,0.8264761865735721,0.0035058819195705783,0.002704948466013625,0.9100574762166872
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,recruitment_rate,0.44947613592055113,0.017951111022934244,0.013192172466242729,0.675616451515689
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,nfkb_gain,0.8985402213247239,0.11902150088610138,0.09119616054583894,0.949005151343991
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,stat3_gain,0.9966426531884828,0.01976628833753219,0.015209491130646489,0.9983364880501112
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,ifng_gain,0.7640687959270966,0.14707307313068654,0.1164297764605479,0.8954825254481441
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,tgfb_gain,0.9855030229870977,0.03955946591155601,0.019458446238460894,0.9941795056496936
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,exhaustion_gain,0.7829134717761308,0.15461698181881062,0.12599687635706783,0.9020054191745287
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,cytotoxic_gain,0.5994874363278775,0.15598508371060552,0.11616844993364106,0.7783786095872935
parameter_recovery,Hybrid: RNAseq + marker modules + spatial + virtual-cell MM,migration_gain,0.9946579664137936,0.016122417488920654,0.012418474366257013,0.9974249057737257
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,barrier,0.7461952160664688,0.11203936147287248,0.08248413851852997,0.8796287240087114
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,ecm_density,0.7472649537323497,0.11225017856858273,0.08414951411285962,0.8822554719127266
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,repair_rate,0.8286543984150112,0.008116440714342947,0.006552682020921904,0.9105425244957234
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,diffusion,0.40201669600555145,0.01764128217700067,0.014321053759901363,0.6362562215398804
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,decay,0.9388894911573217,0.0038754391030739236,0.0020327780175755433,0.9748861220078571
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,injury_amp,0.6648087693858344,0.00511401554711313,0.004041255994359994,0.820801479831907
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,persistent_injury,0.8264761865735721,0.0035058819195705787,0.002704948466013625,0.910057476216687
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,recruitment_rate,0.44947613592055113,0.017951111022934244,0.013192172466242727,0.6756164515156892
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,nfkb_gain,0.898540221324724,0.11902150088610129,0.09119616054583889,0.9490051513439911
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,stat3_gain,0.9966426531884828,0.019766288337532113,0.015209491130646409,0.9983364880501111
parameter_recovery,Hybrid: marker modules + spatial + virtual-cell MM,ifng_gain,0.7640687959270966,0.14707307313068652,0.1164297764605478,0.8954825254481442
